variant,recall25,hr10,ndcg10,longtail_hr10,status
Atomic ID,0.42,0.26,0.18,0.16,MOCK -- NOT EMPIRICAL CLAIMS
Metadata,0.432,0.267,0.186,0.166,MOCK -- NOT EMPIRICAL CLAIMS
Continuous embedding,0.444,0.274,0.192,0.172,MOCK -- NOT EMPIRICAL CLAIMS
Free-text,0.456,0.281,0.198,0.178,MOCK -- NOT EMPIRICAL CLAIMS
Random code,0.468,0.288,0.204,0.184,MOCK -- NOT EMPIRICAL CLAIMS
Unfine-tuned,0.48,0.295,0.21,0.19,MOCK -- NOT EMPIRICAL CLAIMS
Semantic only,0.492,0.302,0.216,0.196,MOCK -- NOT EMPIRICAL CLAIMS
Geo only,0.504,0.309,0.222,0.202,MOCK -- NOT EMPIRICAL CLAIMS
Category only,0.516,0.316,0.228,0.208,MOCK -- NOT EMPIRICAL CLAIMS
Geo+Category,0.528,0.323,0.234,0.214,MOCK -- NOT EMPIRICAL CLAIMS
Geo+Semantic,0.54,0.33,0.24,0.22,MOCK -- NOT EMPIRICAL CLAIMS
Category+Semantic,0.552,0.337,0.246,0.226,MOCK -- NOT EMPIRICAL CLAIMS
Full,0.564,0.344,0.252,0.232,MOCK -- NOT EMPIRICAL CLAIMS
Full w/o backoff,0.576,0.351,0.258,0.238,MOCK -- NOT EMPIRICAL CLAIMS
